pici_id	radius	function	mean	variance	skew	kurtosis
SPECTRUM-OV-008 LN	60	count	5.287696019300362	26.555952351504054	1.252439969004337	2.567542746677841
SPECTRUM-OV-065 IO	60	count	0.13760190892821633	0.3123442988708838	6.008234495203303	48.80064125120366
SPECTRUM-OV-009 RUQ	60	count	0.17546121801229914	0.24326612828171423	3.17731712064561	10.73505835567944
SPECTRUM-OV-041 IO	60	count	1.9162962962962964	7.847067764060356	1.8918083176217633	3.5194945064743743
SPECTRUM-OV-050 LO	60	count	2.225858804436029	6.037978874302384	2.3685727567947965	8.787247313532395
SPECTRUM-OV-051 BO	60	count	0.18472906403940886	1.2275746802882865	8.236545587754627	75.09104415616262
SPECTRUM-OV-025 BW1	60	count	0.4344086021505376	1.4661278760550354	4.6498643526663	27.057341634850555
SPECTRUM-OV-053 RFT	60	count	4.62218487394958	33.5863313607796	1.5880153850609415	3.136415055329774
SPECTRUM-OV-036 RA	60	count	0.011535926170072512	0.01140284857747115	9.148627484085608	81.69738484256654
SPECTRUM-OV-045 IO	60	count	0.13552905546091237	0.20915411627673422	4.230027937129816	22.82187802159087
SPECTRUM-OV-024 PP	60	count	0.5525934511735728	1.2347737724172692	2.907359287070064	10.65829843725485
SPECTRUM-OV-004 LA-2	60	count	0.1210661888229365	0.3023997591983879	5.932334891152322	42.919377977083464
SPECTRUM-OV-045 RO	60	count	0.9913373037357878	3.275506982598685	2.7555497823234423	8.571080413902061
SPECTRUM-OV-052-1 LA-2	60	count	0.734182776801406	3.5738930491936958	3.8297851034303987	17.090803436556307
SPECTRUM-OV-112 IO-2	60	count	0.8059722416935371	7.336249205454067	6.885442636004787	65.4488740670515
SPECTRUM-OV-068 BO-2	60	count	0.1667241974456334	0.7381678331493817	6.351678805789251	43.930013607499546
SPECTRUM-OV-025 IO	60	count	0.4585646312450436	3.381907218067053	6.8561056203989965	56.04784414255361
SPECTRUM-OV-026 BW1	60	count	0.35805258833196385	0.699448302904147	3.3094607677254095	12.655510371951063
SPECTRUM-OV-026 RA	60	count	0.4381679389312977	0.7652607656896452	2.11867557582943	4.083720143600847
